case_id,condition_name,prototype_type,semantic_score,keyword_score,matched_keywords,score,calibration_score,low_signal_floor_applied
1,dissatisfaction,condition,0.413367,0.052632,多次反映,0.287109,0.287109,False
1,policy_demand,condition,0.35636,0.105263,希望; 处理,0.268476,0.268476,False
1,coproduction_request,condition,0.308183,0.0,,0.200319,0.200319,False
1,trust,condition,0.247421,0.0,,0.160823,0.160823,False
1,constructive_resolution,outcome,0.326759,0.055556,处理,0.231838,0.231838,False
2,dissatisfaction,condition,0.353589,0.0,,0.229833,0.229833,False
2,policy_demand,condition,0.43787,0.052632,申请,0.303037,0.303037,False
2,coproduction_request,condition,0.243976,0.0,,0.158584,0.158584,False
2,trust,condition,0.122291,0.0,,0.079489,0.079489,False
2,constructive_resolution,outcome,0.246512,0.0,,0.160232,0.160232,False
3,dissatisfaction,condition,0.250599,0.0,,0.16289,0.16289,False
3,policy_demand,condition,0.300304,0.0,,0.195198,0.195198,False
3,coproduction_request,condition,0.593923,0.3125,愿意; 配合; 志愿者; 宣传; 组织,0.495425,0.495425,False
3,trust,condition,0.370393,0.0,,0.240755,0.240755,False
3,constructive_resolution,outcome,0.423598,0.055556,配合,0.294783,0.294783,False
4,dissatisfaction,condition,0.085806,0.0,,0.055774,0.055774,False
4,policy_demand,condition,0.192348,0.0,,0.125027,0.125027,False
4,coproduction_request,condition,0.347096,0.0,,0.225612,0.225612,False
4,trust,condition,0.318881,0.214286,感谢; 支持; 及时,0.282273,0.282273,False
4,constructive_resolution,outcome,0.308673,0.111111,感谢; 支持,0.239526,0.239526,False
5,dissatisfaction,condition,0.349497,0.052632,不满,0.245594,0.245594,False
5,policy_demand,condition,0.307166,0.157895,要求; 调整; 公开,0.254921,0.254921,False
5,coproduction_request,condition,0.132206,0.0,,0.085934,0.085934,False
5,trust,condition,0.069605,0.0,,0.045244,0.045244,False
5,constructive_resolution,outcome,0.203739,0.055556,调整,0.151875,0.151875,False
6,dissatisfaction,condition,0.583647,0.105263,生气; 失望,0.416212,0.416212,False
6,policy_demand,condition,0.205438,0.0,,0.133534,0.133534,False
6,coproduction_request,condition,0.167346,0.0,,0.108775,0.108775,False
6,trust,condition,0.135415,0.0,,0.08802,0.08802,False
6,constructive_resolution,outcome,0.242882,0.0,,0.157873,0.157873,False
7,dissatisfaction,condition,0.105501,0.0,,0.068576,0.068576,False
7,policy_demand,condition,0.391487,0.315789,希望; 要求; 明确; 申请; 流程; 补贴,0.364993,0.364993,False
7,coproduction_request,condition,0.229272,0.0,,0.149027,0.149027,False
7,trust,condition,0.219744,0.0,,0.142834,0.142834,False
7,constructive_resolution,outcome,0.295748,0.055556,明确,0.21168,0.21168,False
